"Provincia","Codice","Tipologia","Denominazione","Indirizzo","Civico","Localita","Cod. comune","Comune","CAP","Distr.","Telefono","Caratteristica scuola","Sede direttivo","Codice sede riferimento","Codice sede di direttivo","Denominazione sede direttivo","Indirizzo sede di direttivo","Cod. comune sede dir.","Comune sede di direttivo","CAP sede dir.","Distr. sede dir.","Classificazione Autonomia","Organico Autonomia","Organico Sede","Num. Sedi Autonomia","Macrotipologia Autonomia","Tipologia Autonomia","Tipologia Sede","S-Comune montano","Telefono Sede Autonomia","Fax Sede Autonomia","Fax Sede Autonomia_1","Indirizzo E-Mail Autonomia","Indirizzo E-Mail sede corsi","Indirizzo PEC Autonomia","Indirizzo PEC sede corsi","Codice_ISTAT_comune_SEDE","coorY","coorX","location"
"BG","BGEE84402N","Istituto Istruzione Primario","Primaria - Fontanella","Via Lazzaro","22","FONTANELLA","D672","FONTANELLA","24056","033","0363997110","Ordinaria","NO","BGIC84400E","BGIC84400E","IC di Covo","Via Della Repubblica, 9","D126","COVO","24050","033","Statale","1289","235","8","Primo ciclo","Istituto Comprensivo",,"Non montano","036393285","0363939252",,"bgic84400e@istruzione.it",,"bgic84400e@pec.istruzione.it","bgic84400e@pec.istruzione.it","16101","45,6564301","9,3589815","(45.6564301, 9.3589815)"
"BG","BGMM83702D","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Casirate D'Adda","Viale Rimembranze","4","-","B971","CASIRATE D'ADDA","24040","032","036387189","Ordinaria","NO","BGIC83700B","BGIC83700B","IC di Casirate d'Adda","Viale  Rimembranze, 4","B971","CASIRATE D'ADDA","24040","032","Statale","1070","218","8","Primo ciclo","Istituto Comprensivo",,"Non montano","0363/879275","0363/879277","0363/87189","bgic83700b@istruzione.it","media.casirate@icccasirate.it","bgic83700b@pec.istruzione.it","bgic83700b@pec.istruzione.it","16059","45,49387665","9,5700273","(45.49387665, 9.5700273)"
"BG","BGEE86806A","Istituto Istruzione Primario","Primaria - Onore","Via Sant'Antonio","106","ONORE","G075","ONORE","24020","025","034671271","Ordinaria","NO","BGIC868003","BGIC868003","IC di Rovetta","Viale  Papa Giovanni XXIII, 10","H615","ROVETTA","24020","025","Statale","1063","78","10","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","0346 71373","0346 71102",,"bgic868003@istruzione.it",,"bgic868003@pec.istruzione.it","bgic868003@pec.istruzione.it","16149","45,8901144","10,0114392","(45.8901144, 10.0114392)"
"BG","BGMM89302T","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - E.Belussi","Via Marconi","1","COMUN NUOVO","C937","COMUN NUOVO","24040","029","035595265","Ordinaria","NO","BGIC89300Q","BGIC89300Q","IC di Zanica","Via Serio, 1","M147","ZANICA","24050","029","Statale","949","103","5","Primo ciclo","Istituto Comprensivo",,"Non montano","035670728","035671653",,"bgic89300q@istruzione.it",,"bgic89300q@pec.istruzione.it","bgic89300q@pec.istruzione.it","16081","45,62142573","9,65848455","(45.62142573, 9.65848455)"
"BG","BGAA85001P","Scuola dell'Infanzia","Infanzia - Gorle","Via della Libertà","1","-","E103","GORLE","24020","029","035661488","Ordinaria","SI","BGIC85000T","BGIC85000T","IC di Gorle","Via della LibertÃ , 1","E103","GORLE","24020","029","Statale","693","187","3","Primo ciclo","Istituto Comprensivo",,"Non montano","035662548","0356590222",,"bgic85000t@istruzione.it",,"bgic85000t@pec.istruzione.it","bgic85000t@pec.istruzione.it","16115","45,70240268","9,71619758","(45.70240268, 9.71619758)"
"BG","BGEE84301R","Istituto Istruzione Primario","Primaria - Branico","Via Rive","s.n.c.","FRAZ. BRANICO","D117","COSTA VOLPINO","24062","031","035970620","Ordinaria","NO","BGIC84300P","BGIC84300P","IC di Costa Volpino","Via Aldo Moro, 2","D117","COSTA VOLPINO","24062","031","Statale","984","60","6","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035/970375","035/970375",,"bgic84300p@istruzione.it",,"bgic84300p@pec.istruzione.it","bgic84300p@pec.istruzione.it","16086","45,82707069","10,08221034","(45.82707069, 10.08221034)"
"BG","BGTF036018","Istituto Istruzione Secondario Secondo grado","I.T. Tecnologico - Marconi","Via Verdi","60","DALMINE","D245","DALMINE","24044","029","035561230","Ordinaria","SI","BGIS03600Q","BGIS03600Q","Marconi","Via Verdi, 60","D245","DALMINE","24044","029","Statale","949","865","2","Secondo ciclo","Istituto di Istruzione Superiore","Istituto Tecnico","Non montano","035561230","035370805","035370805","bgtf05000d@istruzione.it","segreteria@itisdalmine.it","bgis03600q@pec.istruzione.it","bgis03600q@pec.istruzione.it","16091","45,65068392","9,58976673","(45.65068392, 9.58976673)"
"BG","BGEE89001A","Istituto Istruzione Primario","Primaria - Pradalunga","Via Vittorio Veneto","11","PRADALUNGA","G968","PRADALUNGA","24020","026","035767434","Ordinaria","NO","BGIC890008","BGIC890008","IC di Villa di Serio","Via Doise, 6","L936","VILLA DI SERIO","24020","026","Statale","853","110","5","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035662408","035668006",,"bgic890008@istruzione.it",,"bgic890008@pec.istruzione.it","bgic890008@pec.istruzione.it","16173","45,74782733","9,78614552","(45.74782733, 9.78614552)"
"BG","BGAA88601D","Scuola dell'Infanzia","Infanzia - Verdellino","Via Marconi","1","-","L752","VERDELLINO","24049","032",,"Ordinaria","NO","BGIC88600L","BGIC88600L","IC di Verdellino - Zingonia","Largo Cartesio, 1","L752","VERDELLINO","24040","032","Statale","880","83","5","Primo ciclo","Istituto Comprensivo",,"Non montano","035884516","035872770",,"bgic88600l@istruzione.it",,"bgic88600l@pec.istruzione.it","bgic88600l@pec.istruzione.it","16232","45,60593083","9,61766918","(45.60593083, 9.61766918)"
"BG","BGEE869033","Istituto Istruzione Primario","Primaria - Taleggio Olda","Via Avis-Aido","32","-","L037","TALEGGIO","24010","027","034547019","Ordinaria","NO","BGIC86900V","BGIC86900V","IC di San Giovanni Bianco","Via Castelli, 19","H910","SAN GIOVANNI BIANCO","24015","027","Statale","612","32","7","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","034543620","034543620",,"bgic86900v@istruzione.it",,"bgic86900v@pec.istruzione.it","bgic86900v@pec.istruzione.it","16210","45,8856812","9,5646125","(45.8856812, 9.5646125)"
