"CODICE_FARMACIA","DESCRIZIONE_FARMACIA","PARTITA_IVA","INDIRIZZO","COMUNE","FRAZIONE","CAP","PROVINCIA","CODICE_ISTAT","LATITUDINE","LONGITUDINE","LOCATION"
"CR0236","FARMACIE DAMIOLI S.R.L.","01663050191","VIA 24 MAGGIO, 16","DOVERA",,"26010","CR","19.041","45,36480718542","9,54176143256","POINT (9.541761432561 45.364807185421)"
"LO0118","ORSI SNC","10011840963","VIA ROMA","GUARDAMIGLIO",,"26862","LO","98.029","45,11665249715","9,68661610023","POINT (9.686616100225 45.116652497145)"
"PV0499","FARMACIA ASCHEI","02638540183","VIA UMBERTO I, 92","MARCIGNAGO",,"27020","PV","18.086","45,25245598762","9,0783110862","POINT (9.078311086203 45.252455987619)"
"MI6158","SANT'AGATA SNC","11771010961","VIA CERCA","SETTALA","CALEPPIO","20049","MI","15.210","45,4648923061","9,4066716402","POINT (9.4066716402 45.4648923061)"
"VA0562","AGESP SPA - FARMACIA COMUNALE 3","02212870121","LARGO GAETANO GIARDINO, 7","BUSTO ARSIZIO",,"21052","VA","12.026","45,61791731772","8,85455768968","POINT (8.854557689677 45.617917317719)"
"SO0108","FARMACIA EMMEPI SRL","00914700141","VIA NAZIONALE 46/A","VALDIDENTRO",,"23038","SO","14.071","46,48754149046","10,30032090391","POINT (10.30032090391 46.487541490461)"
"CO0528","FARMACIA BULGORELLO SRL","03995720137","PIAZZA ALCIDE DE GASPERI, 4","CADORAGO",,"22071","CO","13.036","45,72392568287","9,05275726196","POINT (9.05275726196 45.723925682866)"
"BS0537","FARM. FOSSATI MARIO","02455940987","VIA MONSUELLO, 171","LUMEZZANE","S. SEBASTIANO","25065","BS","17.096","45,64976670577","10,26057408669","POINT (10.260574086691 45.649766705767)"
"BG0479","FARM.PUMENENGO DR.MAZZINI","01405190339","PIAZZA DELLA BREDA 1","PUMENENGO",,"24050","BG","16.177","45,4701499","9,86418024","POINT (9.86418024 45.4701499)"
"PV0573","FARMACIA SANT'AMBROGIO S.R.L.","02900980182","CORSO GENOVA, 115","VIGEVANO",,"27029","PV","18.177","45,29978649938","8,85321063402","POINT (8.853210634018 45.299786499375)"
"VA0273","FARMACIA GIARDINI SNC","02086940026","VIA XX SETTEMBRE, 2","SESTO CALENDE",,"21018","VA","12.120","45,72427406189","8,63458201534","POINT (8.63458201534 45.724274061888)"
"MI1992","DEL MERCATO SRL","12310470963","VIA VARSAVIA, 4","MILANO",,"20137","MI","15.146","45,45259068974","9,22896406112","POINT (9.228964061117 45.452590689739)"
"MI0954","A.S.F. COMUNALE N.2 SOLARO","02640870966","CORSO EUROPA, 55","SOLARO",,"20033","MI","15.213","45,61271441896","9,09205682068","POINT (9.092056820678 45.612714418961)"
"VA0457","FARMACIA SENNA DI DOTT. GIORGIO ACETI E C. S.A.S.","03924120128","VIA MARSALA, 9","GALLARATE",,"21013","VA","12.070","45,66051670614","8,78750330246","POINT (8.787503302464 45.660516706137)"
"MI6069","FAR.COM. SRL GESSATE","04146750965","VIALE DE GASPERI, 45","GESSATE",,"20060","MI","15.106","45,54811379199","9,43624458715","POINT (9.436244587151 45.548113791993)"
"MI1863","CORSO VERCELLI","09479870967","VIA FRANCESCO CHERUBINI, 2","MILANO",,"20145","MI","15.146","45,46679830899","9,15966634134","POINT (9.159666341338 45.466798308988)"
"MI4190","MODERNA SNC","10527390966","CORSO 26 APRILE, 105","ARLUNO",,"20004","MI","15.010","45,50524851144","8,94320279854","POINT (8.943202798541 45.505248511443)"
"MI8085","FARMACIA MAURI SRL","06284510960","VIA DE CAPITANI, 10","CONCOREZZO",,"20049","MB","108.021","45,5913633","9,33402479","POINT (9.33402479 45.5913633)"
"BS0507","FARM. ZARLA CADEI GIOVANNI","03448910178","VIA GIUSEPPE GARIBALDI, 21","PASSIRANO",,"25050","BS","17.136","45,59904081076","10,0667854911","POINT (10.066785491103 45.599040810763)"
"MI1686","LANZANI SRL","05270390965","VIA MICHELE LESSONA, 2","MILANO",,"20157","MI","15.146","45,51329909615","9,13689656609","POINT (9.136896566086 45.513299096149)"
"LO0120","SAN BASSIANO SNC","09869370966","VIA LUIGI CADAMOSTO, 4","LODI",,"26900","LO","98.031","45,31901052","9,4907789256","POINT (9.4907789256 45.31901052)"
"MI4038","LEGNANO SNC","04140520968","VIA CANAZZA, 8","LEGNANO",,"20025","MI","15.118","45,59506511526","8,93371921961","POINT (8.933719219607 45.595065115262)"
"PV0527","FARMACIA GIPPONI S.N.C. DI GIPPONI PIERA E C.","02699840183","CORSO BELLOTTI, 6","ROBBIO",,"27038","PV","18.123","45,28931181673","8,59361658056","POINT (8.593616580558 45.289311816725)"
"MI1837","CORDUSIO SNC","08741670965","VIA SANTA MARIA SEGRETA, 6","MILANO",,"20123","MI","15.146","45,46572169544","9,18509502392","POINT (9.185095023916 45.465721695435)"
"CO0518","FARMACIA MARCANTONIO S.N.C. DELLA DOTT.SSA LAURA GRAZIOLI & C","03896250135","VIA ISONZO, 50","MARIANO COMENSE",,"22066","CO","13.143","45,69082519249","9,18588414031","POINT (9.18588414031 45.690825192488)"
"MI8013","FARMACIA DELLA FRANCESCA S.R.L.","02870670961","VIA VOLTURNO, 80","BRUGHERIO",,"20047","MB","108.012","45,5526751","9,30084323","POINT (9.30084323 45.5526751)"
"MI0897","A.F.M. N. 48","13195220150","VIALE ABRUZZI, 4","MILANO",,"20131","MI","15.146","45,474123799","9,21742746104","POINT (9.217427461044 45.474123798997)"
"MI4132","FARMACIA COMUNALE BUBBIANO SRL","09305000961","VIA TRENTO, 2","BUBBIANO",,"20080","MI","15.035","45,32768679565","9,01530758898","POINT (9.015307588976 45.327686795652)"
"BS0309","FARM. COMUNALE GHEDI 3","03430450175","VIA RISORGIMENTO, 1","GHEDI",,"25016","BS","17.078","45,40266229091","10,27040647821","POINT (10.270406478211 45.402662290913)"
"LO0145","SANTA MARCELLINA","03711140966","VIA ROMA, 9","MARUDO",,"26866","LO","98.036","45,25162270072","9,37421146286","POINT (9.374211462855 45.251622700715)"
"BG0538","SANITAS SERIATE S.R.L. - FARM. COMUNALE 2","03307530166","VIA BRUSAPORTO","SERIATE",,"24068","BG","16.198","45,67371778454","9,75653286546","POINT (9.756532865463 45.673717784543)"
"VA0319","FARMACIA DI BARDELLO","02257740031","VIA GIACOMO MATTEOTTI IN BARDELLO, 2","BARDELLO CON MALGESSO E BREGANO",,"21009","VA","12.144","45,83540562951","8,69745955374","POINT (8.697459553743 45.83540562951)"
"MI1946","SAN MICHELE SRL","11070440968","VIALE CONI ZUGNA, 12","MILANO",,"20144","MI","15.146","45,45979589944","9,1651445018","POINT (9.165144501797 45.459795899438)"
"CR0259","FARMACIA SAN VINCENZO SAN DELLA DOTT.SSA MALLARDO MARIANNA","11485580960","VIA FONTANELLA","CASALETTO DI SOPRA",,"26014","CR","19.019","45,41943345238","9,782719314","POINT (9.782719313997 45.419433452384)"
"LC0139","FARMACIA DI CARENNO SNC","03180590139","VIALE GIUSEPPE VERDI","CARENNO",,"23802","LC","97.014","45,80179789607","9,46349277136","POINT (9.463492771361 45.801797896066)"
"MN0240","FARMACIA COMUNALE SAN BIAGIO","02197860204","VIA EUROPA 2/D","SUZZARA",,"46029","MN","20.065","44,99944849173","10,73389957228","POINT (10.733899572275 44.999448491726)"
"PV0175","FARMACIA FRASCHINI S.N.C.","01552480186","VIA LUNGARGINE, 57","BASTIDA PANCARANA",,"27050","PV","18.011","45,08432511011","9,07950466922","POINT (9.079504669215 45.084325110113)"
"BS0873","FARM. BONASSI-GAGLIARDI DI GAGLIARDI ROBERTA  & C SNC","04705420984","VIA CURETTO, 23","SALE MARASINO",,"25057","BS","17.169","45,71089833181","10,11014852895","POINT (10.110148528945 45.710898331807)"
"PV0391","FARMACIA PEDOTTI S.N.C.","01948190184","CORSO GIUSEPPE GARIBALDI, 25","PAVIA",,"27029","PV","18.110","45,31811998473","8,85344851243","POINT (8.85344851243 45.318119984734)"
"BG0461","FROSIO DR. FABIO","03057840161","VIA LONGONI, 113","PALAZZAGO",,"24030","BG","16.156","45,74194408755","9,56127022838","POINT (9.561270228383 45.741944087549)"
